temperature,replicate,lag,heldout_msd,heldout_ngp,inferred_mean_event_count,count_fano_factor,inferred_cage_variance,model,model_class,maximum_omitted_count_probability,calibration_event_path_statistics_used,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,macro_fit_parameter_count,observed_fs_k2,predicted_fs_k2,fs_k2_absolute_error,observed_fs_k4,predicted_fs_k4,fs_k4_absolute_error,observed_fs_k7p25,predicted_fs_k7p25,fs_k7p25_absolute_error,maximum_absolute_error
0.45,1.0,20.0,0.03943903427,0.6894572448,0.09038214515619282,1.3508897454080666,0.005566045596487801,independent_jump,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.97427261,0.9742684667432747,4.143256725264166e-06,0.90311949,0.9029171325857367,0.0002023574142633322,0.72736208,0.7239583590438124,0.0034037209561875725,0.0034037209561875725
0.45,1.0,20.0,0.03943903427,0.6894572448,0.09038214515619282,1.3508897454080666,0.005566045596487801,disjoint_pair,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.97427261,0.9745255435298713,0.0002529335298713242,0.90311949,0.9037048295426808,0.0005853395426808072,0.72736208,0.7252143625990479,0.0021477174009520983,0.0021477174009520983
0.45,1.0,20.0,0.03943903427,0.6894572448,0.09038214515619282,1.3508897454080666,0.005566045596487801,pair_eigenmode,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.97427261,0.9745761415903578,0.0003035315903577862,0.90311949,0.9038543532705989,0.0007348632705989067,0.72736208,0.7254418828173209,0.0019201971826791064,0.0019201971826791064
0.45,1.0,20.0,0.03943903427,0.6894572448,0.09038214515619282,1.3508897454080666,0.005566045596487801,empirical_path,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.97427261,0.9745808080905003,0.0003081980905003112,0.90311949,0.9038687103749736,0.0007492203749736026,0.72736208,0.7254567850768039,0.0019052949231961325,0.0019052949231961325
0.45,1.0,20.0,0.03943903427,0.6894572448,0.09038214515619282,1.3508897454080666,0.005566045596487801,gamma_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.97427261,0.97427725,4.6400000000001995e-06,0.90311949,0.90317961,6.011999999999684e-05,0.72736208,0.72773437,0.00037228999999994183,0.00037228999999994183
0.45,1.0,20.0,0.03943903427,0.6894572448,0.09038214515619282,1.3508897454080666,0.005566045596487801,inverse_gaussian_variance_mixture,marginal_variance_mixture,0.0,0.0,1.0,1.0,0.0,0.97427261,0.97427722,4.610000000071501e-06,0.90311949,0.90317795,5.8459999999982415e-05,0.72736208,0.72770439,0.0003423099999999568,0.0003423099999999568
0.45,1.0,100.0,0.05706767167,1.629733934,0.3282891334168533,2.3133444887602037,0.005853158106985106,independent_jump,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.96372633,0.9637155289539718,1.0801046028130479e-05,0.87128447,0.8709800577062625,0.00030441229373745493,0.67015868,0.6676962867293181,0.002462393270681873,0.002462393270681873
0.45,1.0,100.0,0.05706767167,1.629733934,0.3282891334168533,2.3133444887602037,0.005853158106985106,disjoint_pair,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.96372633,0.9654926728145108,0.001766342814510824,0.87128447,0.8759163425272761,0.0046318725272761485,0.67015868,0.6744052873655485,0.004246607365548494,0.0046318725272761485
0.45,1.0,100.0,0.05706767167,1.629733934,0.3282891334168533,2.3133444887602037,0.005853158106985106,pair_eigenmode,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.96372633,0.966305070564486,0.0025787405644860373,0.87128447,0.8781504086969596,0.006865938696959617,0.67015868,0.6774517471111536,0.007293067111153628,0.007293067111153628
0.45,1.0,100.0,0.05706767167,1.629733934,0.3282891334168533,2.3133444887602037,0.005853158106985106,empirical_path,factorized_event_path,0.0,1.0,1.0,1.0,0.0,0.96372633,0.9664304565202213,0.0027041265202213394,0.87128447,0.8785227274396988,0.007238257439698859,0.67015868,0.6778491571464669,0.0076904771464668675,0.0076904771464668675
