model,parent_group,time_tau,observed_survival,predicted_survival,constant_rate_survival,thermodynamic_claim_allowed
geometry,1,1.0,0.947265625,0.9484223554649437,0.948305033693841,False
geometry,1,2.0,0.896484375,0.8995469184720913,0.8992824369290768,False
geometry,1,4.0,0.822265625,0.8093353595667364,0.8087089013690991,False
geometry,1,8.0,0.654296875,0.6555100052873735,0.6540100871536153,False
geometry,1,12.0,0.556640625,0.5313124118314303,0.5289037790663089,False
geometry,1,16.0,0.453125,0.43096089120667,0.42772919409867943,False
geometry,1,20.0,0.333984375,0.3498165600231343,0.3459084066430332,False
geometry,2,1.0,0.94921875,0.9477585476651327,0.9483360711151252,False
geometry,2,2.0,0.884765625,0.8983235933236768,0.8993413037780719,False
geometry,2,4.0,0.81640625,0.8072621715127559,0.8088147806812421,False
geometry,2,8.0,0.693359375,0.6525603376280242,0.6541813494484457,False
geometry,2,12.0,0.57421875,0.5282130271489258,0.5291115446799036,False
geometry,2,16.0,0.439453125,0.42812502173904593,0.42795323796618945,False
geometry,2,20.0,0.32421875,0.34745274090456957,0.3461349043074509,False
geometry,3,1.0,0.970703125,0.948893844400697,0.9492972780584829,False
geometry,3,2.0,0.904296875,0.900460018443831,0.9011653221292445,False
geometry,3,4.0,0.80859375,0.8110452831678634,0.8120989378083049,False
geometry,3,8.0,0.673828125,0.6584932906133438,0.6595046847893771,False
geometry,3,12.0,0.548828125,0.535193807791023,0.5355830539970541,False
geometry,3,16.0,0.4140625,0.43542811943270276,0.4349464292591357,False
geometry,3,20.0,0.2890625,0.35461705507786934,0.3532195332048591,False
geometry,4,1.0,0.951171875,0.9469885640742141,0.9473298442418221,False
geometry,4,2.0,0.8984375,0.8968487512412575,0.8974338337912348,False
geometry,4,4.0,0.80859375,0.8045550976512685,0.8053874860332336,False
geometry,4,8.0,0.7109375,0.64799095318205,0.6486490026589321,False
geometry,4,12.0,0.58984375,0.5224160718406465,0.5224137895694416,False
geometry,4,16.0,0.47265625,0.42157771544073275,0.42074552865042736,False
geometry,4,20.0,0.359375,0.34051261798316546,0.3388631835794916,False
geometry,5,1.0,0.970703125,0.9471554201545282,0.948383937816884,False
geometry,5,2.0,0.931640625,0.8971842896105284,0.8994320935090593,False
geometry,5,4.0,0.853515625,0.8052291701103622,0.8089780908340891,False
geometry,5,8.0,0.681640625,0.6493215671009278,0.6544455514495677,False
geometry,5,12.0,0.57421875,0.5243398741859029,0.5294321127665339,False
geometry,5,16.0,0.45703125,0.42400411904933666,0.42829897981212883,False
geometry,5,20.0,0.3125,0.343338381935795,0.34648449099460404,False
kinematic,1,1.0,0.947265625,0.9483918158742625,0.948305033693841,False
kinematic,1,2.0,0.896484375,0.8994899154929562,0.8992824369290768,False
kinematic,1,4.0,0.822265625,0.8092360925635906,0.8087089013690991,False
kinematic,1,8.0,0.654296875,0.6553596886660547,0.6540100871536153,False
kinematic,1,12.0,0.556640625,0.5311420504375018,0.5289037790663089,False
kinematic,1,16.0,0.453125,0.43078968755045044,0.42772919409867943,False
kinematic,1,20.0,0.333984375,0.3496557355218718,0.3459084066430332,False
kinematic,2,1.0,0.94921875,0.9477143551825498,0.9483360711151252,False
kinematic,2,2.0,0.884765625,0.8982411913528279,0.8993413037780719,False
kinematic,2,4.0,0.81640625,0.8071189542161137,0.8088147806812421,False
kinematic,2,8.0,0.693359375,0.6523442228711018,0.6541813494484457,False
kinematic,2,12.0,0.57421875,0.5279687769924292,0.5291115446799036,False
kinematic,2,16.0,0.439453125,0.427880036393146,0.42795323796618945,False
kinematic,2,20.0,0.32421875,0.34722279768932196,0.3461349043074509,False
kinematic,3,1.0,0.970703125,0.9488562642880842,0.9492972780584829,False
kinematic,3,2.0,0.904296875,0.900389515543083,0.9011653221292445,False
kinematic,3,4.0,0.80859375,0.8109211879277947,0.8120989378083049,False
kinematic,3,8.0,0.673828125,0.6583009165423317,0.6595046847893771,False
kinematic,3,12.0,0.548828125,0.5349699153927956,0.5355830539970541,False
kinematic,3,16.0,0.4140625,0.43519625912103305,0.4349464292591357,False
kinematic,3,20.0,0.2890625,0.35439171605457487,0.3532195332048591,False
kinematic,4,1.0,0.951171875,0.9470085566733055,0.9473298442418221,False
kinematic,4,2.0,0.8984375,0.8968867013821171,0.8974338337912348,False
kinematic,4,4.0,0.80859375,0.8046234671069461,0.8053874860332336,False
kinematic,4,8.0,0.7109375,0.6481018990362426,0.6486490026589321,False
kinematic,4,12.0,0.58984375,0.5225511018669563,0.5224137895694416,False
kinematic,4,16.0,0.47265625,0.42172381255771674,0.42074552865042736,False
kinematic,4,20.0,0.359375,0.340660835441673,0.3388631835794916,False
kinematic,5,1.0,0.970703125,0.9471392768160845,0.948383937816884,False
kinematic,5,2.0,0.931640625,0.8971548229607051,0.8994320935090593,False
kinematic,5,4.0,0.853515625,0.8051802429514534,0.8089780908340891,False
kinematic,5,8.0,0.681640625,0.6492551685392797,0.6544455514495677,False
kinematic,5,12.0,0.57421875,0.5242741281467024,0.5294321127665339,False
kinematic,5,16.0,0.45703125,0.42394853708116825,0.42829897981212883,False
kinematic,5,20.0,0.3125,0.3432970693576739,0.34648449099460404,False
full,1,1.0,0.947265625,0.9483839515809922,0.948305033693841,False
full,1,2.0,0.896484375,0.8994798343624243,0.8992824369290768,False
full,1,4.0,0.822265625,0.8092352983303626,0.8087089013690991,False
full,1,8.0,0.654296875,0.6554142221957682,0.6540100871536153,False
full,1,12.0,0.556640625,0.5312756546965466,0.5289037790663089,False
full,1,16.0,0.453125,0.43100641871702283,0.42772919409867943,False
full,1,20.0,0.333984375,0.3499484378347898,0.3459084066430332,False
full,2,1.0,0.94921875,0.9476907142482619,0.9483360711151252,False
full,2,2.0,0.884765625,0.8982041068526894,0.8993413037780719,False
full,2,4.0,0.81640625,0.8070799153393224,0.8088147806812421,False
full,2,8.0,0.693359375,0.6523692450064222,0.6541813494484457,False
full,2,12.0,0.57421875,0.5281043359423119,0.5291115446799036,False
full,2,16.0,0.439453125,0.4281382318909826,0.42795323796618945,False
full,2,20.0,0.32421875,0.34759606246338093,0.3461349043074509,False
full,3,1.0,0.970703125,0.9488295092540793,0.9492972780584829,False
full,3,2.0,0.904296875,0.9003406841870009,0.9011653221292445,False
full,3,4.0,0.80859375,0.8108401589811838,0.8120989378083049,False
full,3,8.0,0.673828125,0.658191343995816,0.6595046847893771,False
full,3,12.0,0.548828125,0.534862308070911,0.5355830539970541,False
full,3,16.0,0.4140625,0.4351067880028969,0.4349464292591357,False
full,3,20.0,0.2890625,0.354327453710479,0.3532195332048591,False
full,4,1.0,0.951171875,0.946984702264621,0.9473298442418221,False
full,4,2.0,0.8984375,0.8968460501221796,0.8974338337912348,False
full,4,4.0,0.80859375,0.804566583650326,0.8053874860332336,False
full,4,8.0,0.7109375,0.6480607382381098,0.6486490026589321,False
full,4,12.0,0.58984375,0.5225605497580283,0.5224137895694416,False
full,4,16.0,0.47265625,0.42179599307323684,0.42074552865042736,False
full,4,20.0,0.359375,0.3407948078286609,0.3388631835794916,False
full,5,1.0,0.970703125,0.9470564370482069,0.948383937816884,False
full,5,2.0,0.931640625,0.8970011357502327,0.8994320935090593,False
full,5,4.0,0.853515625,0.8049159910656627,0.8089780908340891,False
full,5,8.0,0.681640625,0.6488661172847183,0.6544455514495677,False
full,5,12.0,0.57421875,0.5238472567029382,0.5294321127665339,False
full,5,16.0,0.45703125,0.42353547870498137,0.42829897981212883,False
full,5,20.0,0.3125,0.3429260583023262,0.34648449099460404,False
