parent_group,target_slot,a_particle_index,escape_successes,clone_trials,observed_committor,geometry_heldout_committor,softmode_heldout_committor,geometry_softmode_heldout_committor,thermodynamic_claim_allowed
1,0,128,6,8,0.75,0.6505172731254402,0.6558537534153965,0.631217723940747,False
1,1,134,5,8,0.625,0.6499146954103401,0.6741345010497233,0.6488443923429594,False
1,2,236,4,8,0.5,0.5847848114719334,0.6508306709551605,0.5664396006081731,False
1,3,294,4,8,0.5,0.6500686063376159,0.6675283672862157,0.6418124842891861,False
1,4,364,4,8,0.5,0.6587885001007245,0.6601392308233501,0.660949029629388,False
1,5,419,5,8,0.625,0.6916310190288886,0.6740991589381021,0.6867572114448031,False
1,6,422,8,8,1.0,0.7653674521689592,0.6598788150118358,0.7567182023940069,False
1,7,451,4,8,0.5,0.6199252559249211,0.6689100562239595,0.6240150826963944,False
1,8,580,5,8,0.625,0.6071185473662736,0.6755483237268827,0.6045629854588148,False
1,9,682,7,8,0.875,0.7089334523856887,0.6861385379585843,0.7126606571989826,False
1,10,719,5,8,0.625,0.7468823962257027,0.670029421000649,0.7361920180956022,False
1,11,770,7,8,0.875,0.7199550547160749,0.6483092407688702,0.6894912176130524,False
1,12,804,4,8,0.5,0.6846362061758114,0.698595906663144,0.6999059787370439,False
1,13,896,8,8,1.0,0.7179962951665272,0.6723329919599749,0.7059886797488278,False
1,14,1032,4,8,0.5,0.6104673600153845,0.6668659765817714,0.5993002487046493,False
1,15,1081,6,8,0.75,0.7325631069508286,0.6564385156010485,0.7197123457162089,False
1,16,1093,8,8,1.0,0.6662858191509013,0.7192597336730774,0.6879038905494926,False
1,17,1120,7,8,0.875,0.6806144474366674,0.721353666127315,0.7170410718597835,False
1,18,1211,5,8,0.625,0.6034842144945195,0.7037107042770981,0.6266691440108919,False
1,19,1285,7,8,0.875,0.6803181316924048,0.6625863245832082,0.6810743143965763,False
1,20,1387,8,8,1.0,0.734544907301983,0.6667555070055421,0.7322656715411465,False
1,21,1394,4,8,0.5,0.7334562257417179,0.655411053979031,0.7136442440233185,False
1,22,1438,5,8,0.625,0.6822187740553516,0.737856234992559,0.7047080209808407,False
1,23,1470,6,8,0.75,0.6807884058950885,0.7238767118657586,0.7134404275530487,False
1,24,1480,6,8,0.75,0.6240189503581933,0.705727544856856,0.6532193460360692,False
1,25,1576,4,8,0.5,0.680344587138889,0.6576980212033332,0.6711333479353196,False
1,26,1583,6,8,0.75,0.5983029535830368,0.6938967680135905,0.6048042292498823,False
1,27,1663,4,8,0.5,0.6665962510811233,0.6720338363039124,0.6518254018927045,False
1,28,1725,6,8,0.75,0.6608562637478591,0.6532136630307238,0.6436530018015489,False
1,29,1737,5,8,0.625,0.6735197082746467,0.7173783877139506,0.7033885151312486,False
1,30,1809,7,8,0.875,0.7214199549835334,0.6681654944581956,0.7210172435437431,False
1,31,1831,5,8,0.625,0.685655825715556,0.6593911664034917,0.6763170682916786,False
1,32,1836,3,8,0.375,0.5939439279952787,0.7103554197899482,0.6189629117182391,False
1,33,1849,5,8,0.625,0.7232968959059907,0.6560490960598502,0.7015718972069571,False
1,34,1911,5,8,0.625,0.6459164064996299,0.6511818638977876,0.6323752014292524,False
1,35,1937,5,8,0.625,0.6482789175824232,0.7104252597393329,0.6688824720368133,False
1,36,1956,6,8,0.75,0.7203407931728161,0.6951681926384425,0.7357615316175219,False
1,37,1959,5,8,0.625,0.6790935906800504,0.652318163993569,0.6676290988808892,False
1,38,1975,5,8,0.625,0.7197430302796655,0.6534556492835208,0.6867107178224765,False
1,39,2010,6,8,0.75,0.7023619102984155,0.6545543839473009,0.6789061549596065,False
1,40,2138,3,8,0.375,0.6788592301046641,0.7080018647515515,0.6971706827912839,False
1,41,2141,3,8,0.375,0.6539743177352663,0.6974119612977454,0.6705273850482013,False
1,42,2256,3,8,0.375,0.6389731088749278,0.7180945993465724,0.6669265596971427,False
1,43,2277,4,8,0.5,0.6516027781826448,0.6695705522965248,0.6581486716971017,False
1,44,2288,4,8,0.5,0.7055590787644805,0.7295287304432149,0.7336420985248486,False
1,45,2412,4,8,0.5,0.7111202042369198,0.6783978642758367,0.7058332735008013,False
1,46,2426,7,8,0.875,0.7119150849381422,0.6825116414235157,0.7125343483804388,False
1,47,2541,6,8,0.75,0.6947904167206114,0.673111512053031,0.6941534584312088,False
1,48,2590,7,8,0.875,0.6468589417686879,0.6896280210628271,0.6553523550500228,False
1,49,2687,4,8,0.5,0.7053350744131092,0.7093792185496537,0.7243356842535876,False
1,50,2823,7,8,0.875,0.614099512382324,0.7349496077835891,0.6538046708581805,False
1,51,2826,5,8,0.625,0.6740472179423284,0.6598873407118765,0.6593012615012966,False
1,52,2828,6,8,0.75,0.7158334438100286,0.6925048147895028,0.7302602792702926,False
1,53,2845,5,8,0.625,0.6915082469002665,0.6804207387146061,0.6893816777176169,False
1,54,2879,8,8,1.0,0.6110988979557879,0.6708058401292303,0.616981201841752,False
1,55,2971,5,8,0.625,0.6592295287592566,0.7124157260959417,0.6834566259376158,False
1,56,3044,5,8,0.625,0.7129155756218887,0.688716377259909,0.7108282947584534,False
1,57,3053,6,8,0.75,0.6405037088442659,0.6607802302353725,0.6310294558487275,False
1,58,3080,5,8,0.625,0.6896001819214254,0.7156536986802627,0.7211708518575882,False
1,59,3106,5,8,0.625,0.702137620803176,0.6453915667945404,0.6744011320391856,False
1,60,3151,7,8,0.875,0.6600118795358871,0.6679788687049684,0.6379120876559512,False
1,61,3182,7,8,0.875,0.7350841711848389,0.6801106974481745,0.729788743506468,False
1,62,3209,2,8,0.25,0.6443121270238371,0.6747836232724953,0.6586173646643644,False
1,63,3267,4,8,0.5,0.718322401899032,0.6517211332097139,0.7042250358550917,False
2,0,128,5,8,0.625,0.5966441828239885,0.70834505473153,0.6297847307587466,False
