record,model,feature_count,mean_heldout_brier_skill,mean_heldout_log_likelihood_gain_per_observation,minimum_group_log_likelihood_gain,maximum_heldout_survival_calibration_error,thermodynamic_claim_allowed,parent_group,held_observation_count,held_event_count,held_brier_skill,held_log_likelihood_gain,held_survival_calibration_error
censored_model,geometry,4,0.008357453921058,0.0064617896947432914,1.2946834014508113,0.06742767815935347,False,,,,,,
held_parent,geometry,,,,,,False,1,512,341,0.00942945411139684,2.511325489116871,0.025328213168569702
held_parent,geometry,,,,,,False,2,512,346,0.0039070256717465,1.2946834014508113,0.04600572285107418
held_parent,geometry,,,,,,False,3,512,364,-0.0005135370044990761,1.346880676287583,0.06555455507786934
held_parent,geometry,,,,,,False,4,512,328,0.012170747177779218,5.233287017101475,0.06742767815935347
held_parent,geometry,,,,,,False,5,512,352,0.01679357964886652,6.156005034586087,0.04987887581409711
censored_model,softmode,6,-0.007985367273298304,-0.0034635584883523584,-5.60091700784028,0.06740591677818819,False,,,,,,
held_parent,softmode,,,,,,False,1,512,341,-0.008347759957058498,-1.7296358132630303,0.03008802778253239
held_parent,softmode,,,,,,False,2,512,346,-0.019443418829836467,-5.60091700784028,0.045737872933443446
held_parent,softmode,,,,,,False,3,512,364,-0.0038956004383423615,0.02396051015557532,0.06204444348919791
held_parent,softmode,,,,,,False,4,512,328,-0.009528848198091522,-2.2481689414385073,0.06740591677818819
held_parent,softmode,,,,,,False,5,512,352,0.001288791056837324,0.688051522204205,0.041732418996554
censored_model,geometry_softmode,10,-0.0008725905369870501,0.0019878973243852905,-3.737515833557609,0.06596168602134928,False,,,,,,
held_parent,geometry_softmode,,,,,,False,1,512,341,0.0048665226557642605,1.7662375576742306,0.025995867971890574
held_parent,geometry_softmode,,,,,,False,2,512,346,-0.012114632576012863,-3.737515833557609,0.0473603800490916
held_parent,geometry_softmode,,,,,,False,3,512,364,-0.019089935800812308,-2.4768004955340075,0.06596168602134928
held_parent,geometry_softmode,,,,,,False,4,512,328,0.005543532129279272,3.389595550903323,0.06512844022587838
held_parent,geometry_softmode,,,,,,False,5,512,352,0.016431560906846387,6.147500370940406,0.04649738479627463
