temperature,replicate,lag,observable,tolerance,calibration_msd,heldout_msd,same_time_value,heldout_value,msd_matched_value,same_time_absolute_error,msd_matched_absolute_error,same_time_normalized_error,msd_matched_normalized_error,in_calibration_msd_support,replicate_support_fraction,replicate_anchor_alpha_window_point_count,replicate_clock_drift_sign,heldout_msd_used_as_diagnostic_input,blind_prediction_claim_allowed,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
0.45,1,20,ngp,0.3,0.039293890622117,0.0394390342650831,0.673149796057788,0.689457244810257,0.680728902675228,0.0163074487524695,0.00872834213502893,0.0543581625082316,0.0290944737834298,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,20,fs_k2,0.03,0.039293890622117,0.0394390342650831,0.974361474371283,0.974272606550412,0.974274379334194,8.88678208710303e-05,1.77278378243884e-06,0.00296226069570101,5.90927927479612e-05,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,20,fs_k4,0.03,0.039293890622117,0.0394390342650831,0.903404733554104,0.903119488174017,0.903139885740246,0.000285245380087562,2.03975662287359e-05,0.00950817933625207,0.000679918874291197,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,20,fs_k7p25,0.03,0.039293890622117,0.0394390342650831,0.727931360301242,0.72736207529805,0.727449540233419,0.000569285003191977,8.74649353689305e-05,0.0189761667730659,0.00291549784563102,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,100,ngp,0.3,0.0567420893182912,0.0570676716703697,1.58425933897784,1.62973393426584,1.5911711883963,0.0454745952880025,0.0385627458695408,0.151581984293342,0.128542486231803,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,100,fs_k2,0.03,0.0567420893182912,0.0570676716703697,0.963891491108379,0.963726330321848,0.963703819253882,0.000165160786531282,2.25110679652474e-05,0.00550535955104274,0.000750368932174913,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,100,fs_k4,0.03,0.0567420893182912,0.0570676716703697,0.871566499470816,0.871284474084515,0.871045868188672,0.000282025386301288,0.000238605895843125,0.00940084621004293,0.00795352986143749,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,100,fs_k7p25,0.03,0.0567420893182912,0.0570676716703697,0.670010171970976,0.670158679937086,0.669185164647391,0.000148507966110434,0.000973515289695137,0.00495026553701446,0.0324505096565046,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,200,ngp,0.3,0.0744142088015232,0.0754397156519748,1.95942411063507,2.05280967502121,1.96293410651229,0.093385564386145,0.0898755685089276,0.311285214620483,0.299585228363092,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,200,fs_k2,0.03,0.0744142088015232,0.0754397156519748,0.953704945630319,0.953199146527972,0.953145130618044,0.000505799102347382,5.40159099279292e-05,0.0168599700782461,0.00180053033093097,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,200,fs_k4,0.03,0.0744142088015232,0.0754397156519748,0.843307417963394,0.84245360398278,0.84190904270586,0.000853813980614238,0.000544561276919486,0.0284604660204746,0.0181520425639829,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,200,fs_k7p25,0.03,0.0744142088015232,0.0754397156519748,0.62523001756809,0.625123291266397,0.623296797112986,0.000106726301693838,0.00182649415341019,0.0035575433897946,0.0608831384470062,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,500,ngp,0.3,0.122132199109838,0.127268896150883,2.12274817734171,2.24020713142216,2.1106806538518,0.117458954080454,0.129526477570361,0.391529846934846,0.431754925234538,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,500,fs_k2,0.03,0.122132199109838,0.127268896150883,0.927656121755144,0.925208669923646,0.92508038816677,0.00244745183149853,0.000128281756875404,0.0815817277166175,0.00427605856251345,1,0.857142857142857,5,-1,1,0,0,0,0
0.45,1,500,fs_k4,0.03,0.122132199109838,0.127268896150883,0.778239440156132,0.774168816823367,0.772660603513273,0.00407062333276476,0.00150821331009376,0.135687444425492,0.0502737770031255,1,0.857142857142857,5,-1,1,0,0,0,0
