signature,high_temperature_value,low_temperature_value,cooling_ratio_low_over_high,endpoint_difference_z,expected_sota_trend,verdict,evidence_scope,sota_source_doi,thermodynamic_claim_allowed
diffusion_slowdown,0.0029621420409837785,2.8751792990172228e-05,0.009706419406080628,114.17125777235069,decreases_on_cooling,aligned,direct_block_observable,10.5281/zenodo.7469766,0.0
alpha_slowdown,4.483054305026452,1283.7388144995823,286.3536167876083,10.07073037167336,increases_on_cooling,aligned,direct_block_observable,10.5281/zenodo.7469766,0.0
stokes_einstein_decoupling,0.013280186162229906,0.0354901481188456,2.6724134500300085,16.14704388022965,increases_on_cooling,aligned,direct_block_observable,10.5281/zenodo.7469766,0.0
non_gaussian_peak_growth,0.3207582165159663,2.1087707899562997,6.574331323017978,20.615942272432658,increases_on_cooling,aligned,direct_block_observable,10.5281/zenodo.7469766,0.0
dynamic_heterogeneity_growth,2.8819388175612124,14.684771244469417,5.095448645539302,2.9835064429396305,increases_with_relaxation_time,aligned,overlap_susceptibility_proxy_not_spatial_length,10.1103/PhysRevLett.132.248201,0.0
ngp_peak_shift,8.0,384.0,48.0,7.7718944762522355,moves_later_on_cooling,aligned,direct_block_observable,10.5281/zenodo.7469766,0.0
chi4_peak_shift,7.6,1280.0,168.42105263157896,5.368543438133955,tracks_alpha_slowing,aligned,overlap_susceptibility_proxy_not_spatial_length,10.1103/PhysRevLett.132.248201,0.0
gaussian_recovery,0.0178,0.5868,32.966,nan,ngp_returns_to_zero_after_peak,censored_at_low_temperature,recovery_seen_at_T070_and_T058_but_T045_window_ends_non_gaussian,10.5281/zenodo.7469766,0.0
direct_facilitation_scaling,nan,nan,nan,nan,facilitation_exponent_and_range_depend_on_temperature,partial,event_exchange_changes_but_no_direct_facilitation_front_or_exponent,10.1103/PhysRevLett.132.258201,0.0
near_tg_heterogeneity_saturation,nan,nan,nan,nan,heterogeneity_growth_slows_near_experimental_Tg,untested,three_MD_temperatures_do_not_reach_experimental_Tg,10.1103/PhysRevB.109.064205,0.0
experimental_chi4_growth,2.8819388175612124,14.684771244469417,5.095448645539302,2.9835064429396305,experimental_dynamic_susceptibility_strengthens_in_glassy_state,qualitatively_aligned,cross_material_overlap_proxy_vs_light_scattering_chi4_no_amplitude_match,10.1038/s41526-024-00455-8,0.0
structure_dynamics_correlation,nan,nan,nan,nan,locally_ordered_regions_relax_more_slowly,untested,renewal_clock_has_no_structural_order_variable,10.1038/s41427-024-00577-1,0.0
thermodynamic_transition,nan,nan,nan,nan,requires_static_or_thermodynamic_observables,out_of_scope,kinetic_trajectory_observables_only,10.1103/PhysRevLett.132.248201,0.0
