benchmark_id,benchmark_source,diagnostic_id,required_observables,available_observables,missing_observables,primary_blocker,observable_coverage_fraction,structural_falsification_ready,has_machine_readable_data,has_uncertainty_estimates,quantitative_falsification_ready
kob_andersen_van_hove_1995,kob1995vanhove,van_hove_gaussian_recovery,time_grid;van_hove_tail;ngp;diffusion,time_grid;van_hove_tail;ngp,diffusion,diffusion,0.75,0.0,0.0,0.0,0.0
kob_andersen_van_hove_1995,kob1995vanhove,multi_k_alpha_shape,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,time_grid;van_hove_tail;ngp,self_intermediate_scattering;tau_alpha;wave_numbers,self_intermediate_scattering,0.25,0.0,0.0,0.0,0.0
kob_andersen_van_hove_1995,kob1995vanhove,joint_persistence_exchange_chi4,diffusion;tau_alpha;persistence_time;exchange_time;late_ngp;chi4_peak,time_grid;van_hove_tail;ngp,diffusion;tau_alpha;persistence_time;exchange_time;late_ngp;chi4_peak,diffusion,0.0,0.0,0.0,0.0,0.0
kob_andersen_van_hove_1995,kob1995vanhove,stokes_einstein_decoupling,temperature_grid;diffusion;tau_alpha,time_grid;van_hove_tail;ngp,temperature_grid;diffusion;tau_alpha,temperature_grid,0.0,0.0,0.0,0.0,0.0
kob_andersen_van_hove_1995,kob1995vanhove,four_point_facilitation_proxy,tau_alpha;chi4_peak;dynamic_length;diffusion,time_grid;van_hove_tail;ngp,tau_alpha;chi4_peak;dynamic_length;diffusion,tau_alpha,0.0,0.0,0.0,0.0,0.0
kob_andersen_intermediate_scattering_1995,kob1995intermediate,van_hove_gaussian_recovery,time_grid;van_hove_tail;ngp;diffusion,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,van_hove_tail;ngp;diffusion,van_hove_tail,0.25,0.0,0.0,0.0,0.0
kob_andersen_intermediate_scattering_1995,kob1995intermediate,multi_k_alpha_shape,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,none,none,1.0,1.0,0.0,0.0,0.0
kob_andersen_intermediate_scattering_1995,kob1995intermediate,joint_persistence_exchange_chi4,diffusion;tau_alpha;persistence_time;exchange_time;late_ngp;chi4_peak,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,diffusion;persistence_time;exchange_time;late_ngp;chi4_peak,diffusion,0.16666666666666666,0.0,0.0,0.0,0.0
kob_andersen_intermediate_scattering_1995,kob1995intermediate,stokes_einstein_decoupling,temperature_grid;diffusion;tau_alpha,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,temperature_grid;diffusion,temperature_grid,0.3333333333333333,0.0,0.0,0.0,0.0
kob_andersen_intermediate_scattering_1995,kob1995intermediate,four_point_facilitation_proxy,tau_alpha;chi4_peak;dynamic_length;diffusion,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,chi4_peak;dynamic_length;diffusion,chi4_peak,0.25,0.0,0.0,0.0,0.0
