ensemble_id,accession_id,system_id,temperature,source_path,frame_index,member_ids,member_count,min_member_count,ensemble_member_threshold_pass,msd,sigma_msd,ngp_2d,sigma_ngp_2d,wave_numbers,self_intermediate_scattering_by_k,sigma_self_intermediate_scattering_by_k,self_intermediate_scattering,sigma_self_intermediate_scattering,overlap_radius,chi4_overlap,sigma_chi4_overlap,frame_index_uncertainty_ready,physical_time_ready,sota_inversion_ready,thermodynamic_claim_allowed,primary_blocker,next_required_action,ensemble_observable_stage
glassbench_member_ensemble_observable_ka2d_t0_23_frame_0,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,0.0,N1290T0.23_202_tc05;N1290T0.23_228_tc05;N1290T0.23_299_tc05;N1290T0.23_299_tc10,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.7;1.1;1.6,1;1;1,0;0;0,1.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,physical_time_semantics,attach_physical_lag_time_and_units,frame_index_member_ensemble_uncertainty_ready
glassbench_member_ensemble_observable_ka2d_t0_23_frame_1,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,1.0,N1290T0.23_202_tc05;N1290T0.23_228_tc05;N1290T0.23_299_tc05;N1290T0.23_299_tc10,4.0,4.0,1.0,0.007085669772414999,0.0030706062758213697,0.08020316795455,0.019778825294467502,0.7;1.1;1.6,0.999132623291;0.997860348764;0.995481988785,0.000375665423593;0.000925911367538;0.00195202497145,0.999132623291,0.000375665423592887,0.1,161.88042635649998,52.89902796234533,1.0,0.0,0.0,0.0,physical_time_semantics,attach_physical_lag_time_and_units,frame_index_member_ensemble_uncertainty_ready
glassbench_member_ensemble_observable_ka2d_t0_23_frame_2,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,2.0,N1290T0.23_202_tc05;N1290T0.23_228_tc05;N1290T0.23_299_tc05;N1290T0.23_299_tc10,4.0,4.0,1.0,0.007536371755354999,0.003559353720611648,0.04706807284655,0.020780405545288986,0.7;1.1;1.6,0.999077522931;0.997724684949;0.995196545268,0.000435418265863;0.00107303464995;0.00226159719697,0.99907752293075,0.0004354182658626455,0.1,150.863953488425,54.503184259170034,1.0,0.0,0.0,0.0,physical_time_semantics,attach_physical_lag_time_and_units,frame_index_member_ensemble_uncertainty_ready
glassbench_member_ensemble_observable_ka2d_t0_23_frame_3,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,3.0,N1290T0.23_202_tc05;N1290T0.23_228_tc05;N1290T0.23_299_tc05;N1290T0.23_299_tc10,4.0,4.0,1.0,0.0062954430373025,0.002392520767376654,0.112963746400775,0.0324522026213664,0.7;1.1;1.6,0.999229288725;0.998098555888;0.995983998308,0.000292728850268;0.000721575523536;0.00152155576583,0.99922928872475,0.0002927288502679302,0.1,155.08817829455,54.846187443856344,1.0,0.0,0.0,0.0,physical_time_semantics,attach_physical_lag_time_and_units,frame_index_member_ensemble_uncertainty_ready
glassbench_member_ensemble_observable_ka2d_t0_23_frame_4,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,4.0,N1290T0.23_202_tc05;N1290T0.23_228_tc05;N1290T0.23_299_tc05;N1290T0.23_299_tc10,4.0,4.0,1.0,0.00669444345328,0.0026621703551633884,0.076364398860225,0.022532020314016462,0.7;1.1;1.6,0.999180483789;0.997978300343;0.995730610889,0.000325692236575;0.000802726385688;0.00169226579353,0.99918048378875,0.0003256922365746123,0.1,155.75542635649998,55.667974992263275,1.0,0.0,0.0,0.0,physical_time_semantics,attach_physical_lag_time_and_units,frame_index_member_ensemble_uncertainty_ready
glassbench_member_ensemble_observable_ka2d_t0_23_frame_5,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,5.0,N1290T0.23_202_tc05;N1290T0.23_228_tc05;N1290T0.23_299_tc05;N1290T0.23_299_tc10,4.0,4.0,1.0,0.0065859490410299995,0.002552675387852495,0.07589883326375,0.01296588462510007,0.7;1.1;1.6,0.999193728511;0.998010841126;0.995798805876,0.00031232773818;0.000769899933729;0.00162350633186,0.9991937285110001,0.0003123277381795784,0.1,160.046899224725,54.02551706977828,1.0,0.0,0.0,0.0,physical_time_semantics,attach_physical_lag_time_and_units,frame_index_member_ensemble_uncertainty_ready
glassbench_member_ensemble_observable_ka2d_t0_23_frame_6,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,6.0,N1290T0.23_202_tc05;N1290T0.23_228_tc05;N1290T0.23_299_tc05;N1290T0.23_299_tc10,4.0,4.0,1.0,0.0063880541617075,0.0025352699131662524,0.06240122303995001,0.029513998837811663,0.7;1.1;1.6,0.999217936912;0.998070499061;0.995924542846,0.000310216835916;0.000764764144838;0.00161294317963,0.99921793691225,0.00031021683591647486,0.1,150.10717054285,57.18315969782074,1.0,0.0,0.0,0.0,physical_time_semantics,attach_physical_lag_time_and_units,frame_index_member_ensemble_uncertainty_ready
glassbench_member_ensemble_observable_ka2d_t0_23_frame_7,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,7.0,N1290T0.23_202_tc05;N1290T0.23_228_tc05;N1290T0.23_299_tc05;N1290T0.23_299_tc10,4.0,4.0,1.0,0.00680668831052,0.0028875467553761557,0.0448336971943,0.01677518450592716,0.7;1.1;1.6,0.999166725017;0.997944293382;0.995658542691,0.000353302784812;0.000870913963027;0.00183655181664,0.9991667250167501,0.0003533027848121179,0.1,154.71143410855,55.75794712932261,1.0,0.0,0.0,0.0,physical_time_semantics,attach_physical_lag_time_and_units,frame_index_member_ensemble_uncertainty_ready
glassbench_member_ensemble_observable_ka2d_t0_23_frame_8,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,8.0,N1290T0.23_202_tc05;N1290T0.23_228_tc05;N1290T0.23_299_tc05;N1290T0.23_299_tc10,4.0,4.0,1.0,0.00640996917989,0.0025596251764342646,0.0577929547005,0.011928298264747275,0.7;1.1;1.6,0.999215269594;0.998063974747;0.995910984328,0.000313181609304;0.000772017648637;0.00162802334211,0.9992152695935,0.0003131816093044704,0.1,151.5552325581,57.04662329337304,1.0,0.0,0.0,0.0,physical_time_semantics,attach_physical_lag_time_and_units,frame_index_member_ensemble_uncertainty_ready
glassbench_member_ensemble_observable_ka2d_t0_23_frame_9,glassbench_zenodo_10118191,KA2D,0.23,GlassBench/KA2D_trajectories/T0.23.tar.xz,9.0,N1290T0.23_202_tc05;N1290T0.23_228_tc05;N1290T0.23_299_tc05;N1290T0.23_299_tc10,4.0,4.0,1.0,0.0062400788253625,0.0023027683861077054,0.07274925485435,0.014046808107678666,0.7;1.1;1.6,0.999236018456;0.998114984844;0.996018010743,0.000281786450991;0.000694743432427;0.00146553168966,0.9992360184562501,0.0002817864509914448,0.1,146.35213178305,57.89059731757768,1.0,0.0,0.0,0.0,physical_time_semantics,attach_physical_lag_time_and_units,frame_index_member_ensemble_uncertainty_ready
