frame,time,particle_id,x
8,8.0,p11,8.0
8,8.0,p10,8.0
8,8.0,p09,8.0
8,8.0,p08,8.0
8,8.0,p07,8.0
8,8.0,p06,8.0
8,8.0,p05,0.0
8,8.0,p04,0.0
8,8.0,p03,-3.0
8,8.0,p02,-3.0
8,8.0,p01,-3.0
8,8.0,p00,-3.0
7,7.0,p11,8.0
7,7.0,p10,8.0
7,7.0,p09,8.0
7,7.0,p08,8.0
7,7.0,p07,8.0
7,7.0,p06,8.0
7,7.0,p05,0.0
7,7.0,p04,0.0
7,7.0,p03,-3.0
7,7.0,p02,-3.0
7,7.0,p01,-3.0
7,7.0,p00,-3.0
6,6.0,p11,6.0
6,6.0,p10,6.0
6,6.0,p09,6.0
6,6.0,p08,6.0
6,6.0,p07,6.0
6,6.0,p06,6.0
6,6.0,p05,0.0
6,6.0,p04,0.0
6,6.0,p03,-3.0
6,6.0,p02,-3.0
6,6.0,p01,-3.0
6,6.0,p00,-3.0
5,5.0,p11,6.0
5,5.0,p10,6.0
5,5.0,p09,6.0
5,5.0,p08,6.0
5,5.0,p07,6.0
5,5.0,p06,6.0
5,5.0,p05,0.0
5,5.0,p04,0.0
5,5.0,p03,-3.0
5,5.0,p02,-3.0
5,5.0,p01,-3.0
5,5.0,p00,-3.0
4,4.0,p11,4.0
4,4.0,p10,4.0
4,4.0,p09,4.0
4,4.0,p08,4.0
4,4.0,p07,4.0
4,4.0,p06,4.0
4,4.0,p05,0.0
4,4.0,p04,0.0
4,4.0,p03,-1.5
4,4.0,p02,-1.5
4,4.0,p01,-1.5
4,4.0,p00,-1.5
3,3.0,p11,4.0
3,3.0,p10,4.0
3,3.0,p09,4.0
3,3.0,p08,4.0
3,3.0,p07,4.0
3,3.0,p06,4.0
3,3.0,p05,0.0
3,3.0,p04,0.0
3,3.0,p03,0.0
3,3.0,p02,0.0
3,3.0,p01,0.0
3,3.0,p00,0.0
2,2.0,p11,2.0
2,2.0,p10,2.0
2,2.0,p09,2.0
2,2.0,p08,2.0
2,2.0,p07,2.0
2,2.0,p06,2.0
2,2.0,p05,0.0
2,2.0,p04,0.0
2,2.0,p03,0.0
2,2.0,p02,0.0
2,2.0,p01,0.0
2,2.0,p00,0.0
1,1.0,p11,2.0
1,1.0,p10,2.0
1,1.0,p09,2.0
1,1.0,p08,2.0
1,1.0,p07,2.0
1,1.0,p06,2.0
1,1.0,p05,0.0
1,1.0,p04,0.0
1,1.0,p03,0.0
1,1.0,p02,0.0
1,1.0,p01,0.0
1,1.0,p00,0.0
0,0.0,p11,0.0
0,0.0,p10,0.0
0,0.0,p09,0.0
0,0.0,p08,0.0
0,0.0,p07,0.0
0,0.0,p06,0.0
0,0.0,p05,0.0
0,0.0,p04,0.0
0,0.0,p03,0.0
0,0.0,p02,0.0
0,0.0,p01,0.0
0,0.0,p00,0.0
