source_id,sample_id,area_fraction,time_step_seconds,published_tau_alpha_seconds,source_sha256,wave_number_inverse_microns,lag_frames,lag_seconds,lag_over_published_tau_alpha,pair_count,msd,ngp_2d,self_intermediate_scattering
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,1.0,16.5,0.0055,761162.0,0.24300575764423343,0.5261301408924131,0.6203169179305628
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,2.0,33.0,0.011,758073.0,0.3084333101165719,0.6787890523519597,0.5676947673869712
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,3.0,49.5,0.0165,756303.0,0.3517376604350373,0.8139976341372948,0.5420410382280685
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,4.0,66.0,0.022,754953.0,0.387000799255053,0.9296247144786909,0.5247991550831836
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,5.0,82.5,0.0275,753983.0,0.41709514153502136,1.0340908355066558,0.5123094254588316
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,7.0,115.5,0.0385,751382.0,0.4716207658687592,1.1859104461118575,0.4930371606249776
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,10.0,165.0,0.055,747803.0,0.5431313805908775,1.3642331037469804,0.472827063036395
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,14.0,231.0,0.077,743023.0,0.6274765061108472,1.5394137087375777,0.4556847927138423
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,20.0,330.0,0.11,735854.0,0.7469216998208884,1.673013470557036,0.4346860525019788
vivek2017_2d_hard_colloid,t2_10_29b,0.76,16.5,3000.0,4f91a2dd8090a175b727935ef689fb8ebd2c673a798310f0f25848d27b482877,3.0,27.0,445.5,0.1485,727732.0,0.8771751488185212,1.7487292898963909,0.41449370792312856
